type,flagname,default,min,max
uintx,MarkStackSizeMax,536870912.0,268435456.0,805306368.0
uintx,MarkSweepAlwaysCompactCount,4.0,2.0,6.0
uintx,MarkSweepDeadRatio,1.0,0.5,1.5
intx,MaxBCEAEstimateLevel,5.0,2.5,7.5
intx,MaxBCEAEstimateSize,150.0,75.0,225.0
uintx,MaxDirectMemorySize,0.0,0.0,0.0
uintx,MaxGCMinorPauseMillis,1.84467440737e+19,9.22337203685e+18,2.76701161106e+19
uintx,MaxGCPauseMillis,1.84467440737e+19,9.22337203685e+18,2.76701161106e+19
uintx,MaxHeapFreeRatio,100.0,50.0,150.0
uintx,MaxHeapSize,2015363072.0,1007681536.0,3023044608.0
intx,MaxInlineLevel,9.0,4.5,13.5
intx,MaxInlineSize,35.0,17.5,52.5
intx,MaxJNILocalCapacity,65536.0,32768.0,98304.0
intx,MaxJavaStackTraceDepth,1024.0,512.0,1536.0
intx,MaxJumpTableSize,65000.0,32500.0,97500.0
intx,MaxJumpTableSparseness,5.0,2.5,7.5
intx,MaxLabelRootDepth,1100.0,550.0,1650.0
intx,MaxLoopPad,11.0,5.5,16.5
uintx,MaxMetaspaceExpansion,5451776.0,2725888.0,8177664.0
uintx,MaxMetaspaceFreeRatio,70.0,35.0,105.0
uintx,MaxMetaspaceSize,1.84467440737e+19,9.22337203685e+18,2.76701161106e+19
uintx,MaxNewSize,671612928.0,335806464.0,1007419392.0
intx,MaxNodeLimit,75000.0,37500.0,112500.0
uint64_t,MaxRAM,1.37438953472e+11,68719476736.0,2.06158430208e+11
uintx,MaxRAMFraction,4.0,2.0,6.0
intx,MaxRecursiveInlineLevel,1.0,0.5,1.5
uintx,MaxTenuringThreshold,15.0,7.5,22.5
intx,MaxTrivialSize,6.0,3.0,9.0
intx,MaxVectorSize,32.0,16.0,48.0
uintx,MetaspaceSize,21807104.0,10903552.0,32710656.0
uintx,MinHeapDeltaBytes,524288.0,262144.0,786432.0
uintx,MinHeapFreeRatio,0.0,0.0,0.0
intx,MinInliningThreshold,250.0,125.0,375.0
intx,MinJumpTableSize,10.0,5.0,15.0
uintx,MinMetaspaceExpansion,339968.0,169984.0,509952.0
uintx,MinMetaspaceFreeRatio,40.0,20.0,60.0
uintx,MinRAMFraction,2.0,1.0,3.0
uintx,MinSurvivorRatio,3.0,1.5,4.5
uintx,MinTLABSize,2048.0,1024.0,3072.0
intx,MonitorBound,0.0,0.0,0.0
