type,flagname,default
ccstr,InlineDataFile
intx,InlineSmallCode,2000
bool,InlineSynchronizedMethods,true
bool,InsertMemBarAfterArraycopy,true
intx,InteriorEntryAlignment,16
intx,InterpreterProfilePercentage,33
bool,JNIDetachReleasesMonitors,true
bool,JavaMonitorsInStackTrace,true
intx,JavaPriority10_To_OSPriority,-1
intx,JavaPriority1_To_OSPriority,-1
intx,JavaPriority2_To_OSPriority,-1
intx,JavaPriority3_To_OSPriority,-1
intx,JavaPriority4_To_OSPriority,-1
intx,JavaPriority5_To_OSPriority,-1
intx,JavaPriority6_To_OSPriority,-1
intx,JavaPriority7_To_OSPriority,-1
intx,JavaPriority8_To_OSPriority,-1
intx,JavaPriority9_To_OSPriority,-1
bool,LIRFillDelaySlots,false
uintx,LargePageHeapSizeThreshold,134217728
uintx,LargePageSizeInBytes,0
bool,LazyBootClassLoader,true
intx,LiveNodeCountInliningCutoff,40000
bool,LoadExecStackDllInVMThread,true
bool,LogCommercialFeatures,false
intx,LoopMaxUnroll,16
intx,LoopOptsCount,43
intx,LoopUnrollLimit,60
intx,LoopUnrollMin,4
bool,LoopUnswitching,true
bool,ManagementServer,false
uintx,MarkStackSize,4194304
uintx,MarkStackSizeMax,536870912
uintx,MarkSweepAlwaysCompactCount,4
uintx,MarkSweepDeadRatio,1
intx,MaxBCEAEstimateLevel,5
intx,MaxBCEAEstimateSize,150
uintx,MaxDirectMemorySize,0
bool,MaxFDLimit,true
uintx,MaxGCMinorPauseMillis,18446744073709551615
uintx,MaxGCPauseMillis,18446744073709551615
uintx,MaxHeapFreeRatio,100
uintx,MaxHeapSize,2015363072
intx,MaxInlineLevel,9
intx,MaxInlineSize,35
intx,MaxJNILocalCapacity,65536
intx,MaxJavaStackTraceDepth,1024
intx,MaxJumpTableSize,65000
intx,MaxJumpTableSparseness,5
intx,MaxLabelRootDepth,1100
intx,MaxLoopPad,11
uintx,MaxMetaspaceExpansion,5451776
uintx,MaxMetaspaceFreeRatio,70
uintx,MaxMetaspaceSize,18446744073709547520
uintx,MaxNewSize,671612928
intx,MaxNodeLimit,75000
uint64_t,MaxRAM,137438953472
uintx,MaxRAMFraction,4
intx,MaxRecursiveInlineLevel,1
uintx,MaxTenuringThreshold,15
intx,MaxTrivialSize,6
intx,MaxVectorSize,32
uintx,MetaspaceSize,21807104
bool,MethodFlushing,true
uintx,MinHeapDeltaBytes,524288
uintx,MinHeapFreeRatio,0
intx,MinInliningThreshold,250
intx,MinJumpTableSize,10
uintx,MinMetaspaceExpansion,339968
uintx,MinMetaspaceFreeRatio,40
uintx,MinRAMFraction,2
uintx,MinSurvivorRatio,3
uintx,MinTLABSize,2048
intx,MonitorBound,0
bool,MonitorInUseLists,false
intx,MultiArrayExpandLimit,6
bool,MustCallLoadClassInternal,false
uintx,NUMAChunkResizeWeight,20
uintx,NUMAInterleaveGranularity,2097152
uintx,NUMAPageScanRate,256
uintx,NUMASpaceResizeRate,1073741824
bool,NUMAStats,false
ccstr,NativeMemoryTracking,off
bool,NeedsDeoptSuspend,false
bool,NeverActAsServerClassMachine,false
bool,NeverTenure,false
uintx,NewRatio,2
uintx,NewSize,42467328
