type,flagname,default
bool,ProfilerPrintByteCodeStatistics,false
bool,ProfilerRecordPC,false
uintx,PromotedPadding,3
intx,QueuedAllocationWarningCount,0
bool,RangeCheckElimination,true
intx,ReadPrefetchInstr,0
bool,ReassociateInvariants,true
bool,ReduceBulkZeroing,true
bool,ReduceFieldZeroing,true
bool,ReduceInitialCardMarks,true
bool,ReduceSignalUsage,false
intx,RefDiscoveryPolicy,0
bool,ReflectionWrapResolutionErrors,true
bool,RegisterFinalizersAtInit,true
bool,RelaxAccessControlCheck,false
bool,RequireSharedSpaces,false
uintx,ReservedCodeCacheSize,50331648
bool,ResizeOldPLAB,true
bool,ResizePLAB,true
bool,ResizeTLAB,true
bool,RestoreMXCSROnJNICalls,false
bool,RewriteBytecodes,true
bool,RewriteFrequentPairs,true
intx,SafepointPollOffset,256
intx,SafepointSpinBeforeYield,2000
bool,SafepointTimeout,false
intx,SafepointTimeoutDelay,10000
bool,ScavengeBeforeFullGC,true
intx,SelfDestructTimer,0
uintx,SharedDummyBlockSize,536870912
uintx,SharedMiscCodeSize,4194304
uintx,SharedMiscDataSize,5242880
uintx,SharedReadOnlySize,10485760
uintx,SharedReadWriteSize,13631488
bool,ShowMessageBoxOnError,false
intx,SoftRefLRUPolicyMSPerMB,1000
bool,SplitIfBlocks,true
intx,StackRedPages,1
intx,StackShadowPages,20
bool,StackTraceInThrowable,true
intx,StackYellowPages,2
bool,StartAttachListener,false
intx,StarvationMonitorInterval,200
bool,StressLdcRewrite,false
uintx,StringTableSize,60013
bool,SuppressFatalErrorMessage,false
uintx,SurvivorPadding,3
intx,SurvivorRatio,8
intx,SuspendRetryCount,50
intx,SuspendRetryDelay,5
intx,SyncFlags,0
ccstr,SyncKnobs
intx,SyncVerbose,0
uintx,TLABAllocationWeight,35
uintx,TLABRefillWasteFraction,64
uintx,TLABSize,0
bool,TLABStats,true
uintx,TLABWasteIncrement,4
uintx,TLABWasteTargetPercent,1
intx,TargetPLABWastePct,10
intx,TargetSurvivorRatio,50
uintx,TenuredGenerationSizeIncrement,20
uintx,TenuredGenerationSizeSupplement,80
uintx,TenuredGenerationSizeSupplementDecay,2
intx,ThreadPriorityPolicy,0
bool,ThreadPriorityVerbose,false
uintx,ThreadSafetyMargin,52428800
intx,ThreadStackSize,1024
uintx,ThresholdTolerance,10
intx,Tier0BackedgeNotifyFreqLog,10
intx,Tier0InvokeNotifyFreqLog,7
intx,Tier0ProfilingStartPercentage,200
intx,Tier23InlineeNotifyFreqLog,20
intx,Tier2BackEdgeThreshold,0
intx,Tier2BackedgeNotifyFreqLog,14
intx,Tier2CompileThreshold,0
intx,Tier2InvokeNotifyFreqLog,11
intx,Tier3BackEdgeThreshold,60000
intx,Tier3BackedgeNotifyFreqLog,13
intx,Tier3CompileThreshold,2000
intx,Tier3DelayOff,2
intx,Tier3DelayOn,5
intx,Tier3InvocationThreshold,200
intx,Tier3InvokeNotifyFreqLog,10
intx,Tier3LoadFeedback,5
intx,Tier3MinInvocationThreshold,100
intx,Tier4BackEdgeThreshold,40000
intx,Tier4CompileThreshold,15000
intx,Tier4InvocationThreshold,5000
intx,Tier4LoadFeedback,3
intx,Tier4MinInvocationThreshold,600
bool,TieredCompilation,false
intx,TieredCompileTaskTimeout,50
intx,TieredRateUpdateMaxTime,25
intx,TieredRateUpdateMinTime,1
intx,TieredStopAtLevel,4
bool,TimeLinearScan,false
bool,TraceBiasedLocking,false
bool,TraceClassLoading,false
bool,TraceClassLoadingPreorder,false
bool,TraceClassResolution,false
bool,TraceClassUnloading,false
bool,TraceDynamicGCThreads,false
bool,TraceGen0Time,false
bool,TraceGen1Time,false
ccstr,TraceJVMTI
bool,TraceLoaderConstraints,false
bool,TraceMonitorInflation,false
bool,TraceParallelOldGCTasks,false
intx,TraceRedefineClasses,0
bool,TraceSafepointCleanupTime,false
bool,TraceSuspendWaitFailures,false
intx,TrackedInitializationLimit,50
bool,TransmitErrorReport,false
intx,TypeProfileMajorReceiverPercent,90
intx,TypeProfileWidth,2
intx,UnguardOnExecutionViolation,0
bool,UnlinkSymbolsALot,false
bool,Use486InstrsOnly,false
bool,UseAES,false
bool,UseAESIntrinsics,false
intx,UseAVX,99
bool,UseAdaptiveGCBoundary,false
bool,UseAdaptiveGenerationSizePolicyAtMajorCollection,true
bool,UseAdaptiveGenerationSizePolicyAtMinorCollection,true
bool,UseAdaptiveNUMAChunkSizing,true
bool,UseAdaptiveSizeDecayMajorGCCost,true
