type,flagname,default,min,max
intx,SafepointTimeoutDelay,10000,5000,15000
intx,SelfDestructTimer,0,0,0
uintx,SharedDummyBlockSize,536870912,268435456,805306368
uintx,SharedMiscCodeSize,4194304,2097152,6291456
uintx,SharedMiscDataSize,5242880,2621440,7864320
uintx,SharedReadOnlySize,10485760,5242880,15728640
uintx,SharedReadWriteSize,13631488,6815744,20447232
intx,SoftRefLRUPolicyMSPerMB,1000,500,1500
intx,StackRedPages,1,1,1
intx,StackShadowPages,20,10,30
intx,StackYellowPages,2,1,3
intx,StarvationMonitorInterval,200,100,300
uintx,StringTableSize,60013,30007,90019
uintx,SurvivorPadding,3,2,4
intx,SurvivorRatio,8,4,12
intx,SuspendRetryCount,50,25,75
intx,SuspendRetryDelay,5,3,7
intx,SyncFlags,0,0,0
ccstr,SyncKnobs,0,0,0
intx,SyncVerbose,0,0,0
uintx,TLABAllocationWeight,35,18,52
uintx,TLABRefillWasteFraction,64,32,96
uintx,TLABSize,0,0,0
uintx,TLABWasteIncrement,4,2,6
uintx,TLABWasteTargetPercent,1,1,1
intx,TargetPLABWastePct,10,5,15
intx,TargetSurvivorRatio,50,25,75
uintx,TenuredGenerationSizeIncrement,20,10,30
uintx,TenuredGenerationSizeSupplement,80,40,120
uintx,TenuredGenerationSizeSupplementDecay,2,1,3
intx,ThreadPriorityPolicy,0,0,0
uintx,ThreadSafetyMargin,52428800,26214400,78643200
intx,ThreadStackSize,1024,512,1536
uintx,ThresholdTolerance,10,5,15
intx,Tier0BackedgeNotifyFreqLog,10,5,15
intx,Tier0InvokeNotifyFreqLog,7,4,10
intx,Tier0ProfilingStartPercentage,200,100,300
intx,Tier23InlineeNotifyFreqLog,20,10,30
intx,Tier2BackEdgeThreshold,0,0,0
intx,Tier2BackedgeNotifyFreqLog,14,7,21
intx,Tier2CompileThreshold,0,0,0
intx,Tier2InvokeNotifyFreqLog,11,6,16
intx,Tier3BackEdgeThreshold,60000,30000,90000
intx,Tier3BackedgeNotifyFreqLog,13,7,19
intx,Tier3CompileThreshold,2000,1000,3000
intx,Tier3DelayOff,2,1,3
intx,Tier3DelayOn,5,3,7
intx,Tier3InvocationThreshold,200,100,300
intx,Tier3InvokeNotifyFreqLog,10,5,15
intx,Tier3LoadFeedback,5,3,7
intx,Tier3MinInvocationThreshold,100,50,150
intx,Tier4BackEdgeThreshold,40000,20000,60000
intx,Tier4CompileThreshold,15000,7500,22500
intx,Tier4InvocationThreshold,5000,2500,7500
intx,Tier4LoadFeedback,3,2,4
intx,Tier4MinInvocationThreshold,600,300,900
intx,TieredCompileTaskTimeout,50,25,75
intx,TieredRateUpdateMaxTime,25,13,37
intx,TieredRateUpdateMinTime,1,1,1
intx,TieredStopAtLevel,4,2,6
ccstr,TraceJVMTI,0,0,0
intx,TraceRedefineClasses,0,0,0
intx,TrackedInitializationLimit,50,25,75
intx,TypeProfileMajorReceiverPercent,90,45,135
intx,TypeProfileWidth,2,1,3
intx,UnguardOnExecutionViolation,0,0,0
intx,UseAVX,99,50,148
intx,UseSSE,99,50,148
intx,VMThreadPriority,-1,-2,0
intx,VMThreadStackSize,1024,512,1536
intx,ValueMapInitialSize,11,6,16
intx,ValueMapMaxLoopSize,8,4,12
intx,ValueSearchLimit,1000,500,1500
intx,WorkAroundNPTLTimedWaitHang,1,1,1
uintx,YoungGenerationSizeIncrement,20,10,30
uintx,YoungGenerationSizeSupplement,80,40,120
uintx,YoungGenerationSizeSupplementDecay,8,4,12
uintx,YoungPLABSize,4096,2048,6144
intx,hashCode,0,0,0
